Type,IP Address/Domain,Source
Callback Domains,ldaps://lx-ffff1f8567adbb080554b5610000000044e030.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://lx-ffff8ba2ce73bb08e154b56100000000da1cd1.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://e62bd60a.probe001.log4j.leakix.net:8443/b,GitHub
Callback Domains,ldaps://4ff88acb.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://845fa0ec.probe001.log4j.leakix.net:1266/b,GitHub
Callback Domains,ldaps://0e3610b0.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://691c3f1c.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://8a672c92.probe001.log4j.leakix.net:9200/b,GitHub
Callback Domains,ldaps://lx-ffff23f64d78bb080d72b5610000000077bad4.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://lx-ffffb9b5d372bb089027b66100000000149e7d.probe001.log4j.leakix.net:8443/b,GitHub
Callback Domains,ldaps://62343f40.probe001.log4j.leakix.net:9200/b,GitHub
Callback Domains,ldaps://56d402f8.probe001.log4j.leakix.net:9200/b,GitHub
Callback Domains,ldaps://lx-ffff1f8567afbb08ec22b6610000000018ad81.probe001.log4j.leakix.net:8443/b,GitHub
Callback Domains,ldaps://lx-ffff1f8567acbb086723b66100000000c15f36.probe001.log4j.leakix.net:8443/b,GitHub
Callback Domains,ldaps://78b8b59c.probe001.log4j.leakix.net:9200/b,GitHub
Callback Domains,ldaps://lx-ffff3fe77575bb08d133b6610000000038a7c7.probe001.log4j.leakix.net:8443/b,GitHub
Callback Domains,ldaps://lx-ffff3fe7758ebb081534b66100000000cf077a.probe001.log4j.leakix.net:8443/b,GitHub
Callback Domains,ldaps://lx-ffffa9396424bb082e34b66100000000dcade3.probe001.log4j.leakix.net:12333/b,GitHub
Callback Domains,ldaps://lx-ffff3fe77537bb08a534b66100000000799ae5.probe001.log4j.leakix.net:8443/b,GitHub
Callback Domains,ldaps://lx-ffff3fe7754bbb08e834b661000000004935cf.probe001.log4j.leakix.net:8443/b,GitHub
Callback Domains,ldaps://c893f258.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://5842cd21.probe001.log4j.leakix.net:8443/b,GitHub
Callback Domains,ldaps://ef00e4a.probe001.log4j.leakix.net:8443/b,GitHub
Callback Domains,ldaps://1886059b.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://39fd3743.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://288472b3.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://lx-ffff3ffa3db9bb088972b5610000000019bf3d.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://lx-ffff23c62a0abb0108393ab66100000000db5738.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldap://167.71.13.196:2222/lx-ffff3fe775aefb200858f4b76100000000f386f3,GitHub
Callback Domains,ldap://167.71.13.196:2222/lx-ffff3fe77525bb0108b2f4b76100000000cf9ac7,GitHub
Callback Domains,ldaps://lx-ffffac69b35dbb08ef21b66100000000a661cd.probe001.log4j.leakix.net:8443/b,GitHub
Callback Domains,ldap://167.71.13.196:443/lx-ffff53e5486bbb01082ffbb76100000000c36691,GitHub
Callback Domains,ldaps://lx-ffff22532b75bb08de2bb661000000003a3860.probe001.log4j.leakix.net:8443/b,GitHub
Callback Domains,ldap://167.71.13.196:443/lx-ffff53e5486fbb01087df8b76100000000c4dbfb,GitHub
Callback Domains,ldap://167.71.13.196:2222/lx-ffff3fe7757efb200891f8b761000000005c5bfa,GitHub
Callback Domains,ldap://167.71.13.196:443/lx-ffff53e54869bb010821f9b76100000000433382,GitHub
Callback Domains,ldaps://40eeada5.probe001.log4j.leakix.net:9200/b,GitHub
Callback Domains,ldaps://lx-ffff6dcf4c39bb08c365b56100000000b58824.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://lx-ffff32742121fb2008e775b661000000005bdbb4.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldap://167.71.13.196:2222/lx-ffff3fe77598fb20088909b861000000008abcfe,GitHub
Callback Domains,ldap://167.71.13.196:443/lx-ffffa93f37acfb200818f1b76100000000018f2d,GitHub
Callback Domains,ldaps://lx-ffffac687c8bfb2008e64fb66100000000b192f1.probe001.log4j.leakix.net:123/b,GitHub
Callback Domains,ldaps://adff2c73.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://128d668f.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldap://167.71.13.196:2222/lx-ffff3fe77595bb01086cf0b7610000000064df14,GitHub
Callback Domains,ldaps://3df3bd70.probe001.log4j.leakix.net:9200/b,GitHub
Callback Domains,ldaps://fb759c07.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://bb2f9635.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://89598b9a.probe001.log4j.leakix.net:1266/b,GitHub
Callback Domains,ldaps://9bedefa6.probe001.log4j.leakix.net:9200/b,GitHub
Callback Domains,ldaps://lx-ffff3fe77544bb0108f763b66100000000034360.probe001.log4j.leakix.net:123/b,GitHub
Callback Domains,ldaps://lx-ffff2261c19ebb0108726bb6610000000031fd1b.probe001.log4j.leakix.net:123/b,GitHub
Callback Domains,ldap://167.71.13.196:2222/lx-ffff8ba234a3bb01081ae5b76100000000421458,GitHub
Callback Domains,ldap://167.71.13.196:2222/lx-ffff08d72396bb010853e5b761000000006d721a,GitHub
Callback Domains,ldap://167.71.13.196:2222/lx-ffffac68b0fcbb0108bde5b76100000000711b9a,GitHub
Callback Domains,ldaps://81f3c543.probe001.log4j.leakix.net:1234/b,GitHub
Callback Domains,ldap://167.71.13.196:443/lx-ffff4197ada2401f0893e1b761000000005a28ef,GitHub
Callback Domains,ldap://167.71.13.196:2222/lx-ffff41979081bb0108c8e7b761000000005a845c,GitHub
Callback Domains,ldap://167.71.13.196:2222/lx-ffffb9f10584bb010878e8b76100000000389808,GitHub
Callback Domains,ldaps://lx-ffffa9388c6abb01080b79b6610000000059cce9.probe001.log4j.leakix.net:123/b,GitHub
Callback Domains,ldaps://lx-ffff3fe775b7bb01082b79b66100000000b9325a.probe001.log4j.leakix.net:123/b,GitHub
Callback Domains,ldaps://lx-ffff3fe775f6911f084c79b66100000000fc224c.probe001.log4j.leakix.net:123/b,GitHub
Callback Domains,ldaps://lx-ffff3fe775f6911f084979b66100000000f1cbf1.probe001.log4j.leakix.net:123/b,GitHub
Callback Domains,ldaps://lx-ffff23cb07c2bb01087b54b66100000000b630e5.probe001.log4j.leakix.net:123/b,GitHub
Callback Domains,ldaps://4bb39c6f.probe001.log4j.leakix.net:9200/b,GitHub
Callback Domains,ldaps://a92c9ae8.probe001.log4j.leakix.net:9200/b,GitHub
Callback Domains,ldaps://f53d3241.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://6cdf4803.probe001.log4j.leakix.net:9200/b,GitHub
Callback Domains,ldaps://ff70b4af.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://54f1f64c.probe001.log4j.leakix.net:443/b,GitHub
Callback Domains,ldaps://fa251498.probe001.log4j.leakix.net:9200/b,GitHub
Callback Domains,ldaps://lx-ffff3fe775e4bb0108ab3db6610000000091eaae.probe001.log4j.leakix.net:4344/b,GitHub
